City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Sao Filipe,CV,2021-03-30 21:11:11,14.8961,-24.4956,70.56,75,4,6.62
270,Abbeyleix,IE,2021-03-30 21:11:11,52.8992,-7.3575,51.01,90,4,8.01
271,Tateyama,JP,2021-03-30 21:11:11,34.9833,139.8667,59.0,84,22,13.65
272,Shache,CN,2021-03-30 21:11:12,38.4167,77.2406,46.89,18,94,7.83
273,Port-Cartier,CA,2021-03-30 21:11:12,50.0334,-66.8654,28.99,58,90,6.91
274,Saint-Louis,SN,2021-03-30 21:11:12,16.3333,-15.0,80.02,30,59,16.78
275,Bani,DO,2021-03-30 21:11:13,18.2833,-70.3333,84.2,70,75,9.22
276,Pimentel,PE,2021-03-30 21:11:13,-6.8367,-79.9342,78.8,57,75,17.27
277,Iranshahr,IR,2021-03-30 21:11:13,27.2025,60.6848,75.2,13,0,0.78
278,Mayor Pablo Lagerenza,PY,2021-03-30 21:11:13,-19.9309,-60.7718,78.75,51,83,3.33
279,Upata,VE,2021-03-30 21:11:14,8.0086,-62.3989,79.16,66,100,10.11
280,Egvekinot,RU,2021-03-30 21:11:14,66.3167,-179.1667,-2.02,87,76,0.16
281,Thinadhoo,MV,2021-03-30 21:11:14,0.5333,72.9333,83.57,73,84,19.39
282,Bengkulu,ID,2021-03-30 21:11:15,-3.8004,102.2655,74.34,89,100,4.29
283,Barbate,ES,2021-03-30 21:11:15,36.1924,-5.9219,68.0,63,0,20.71
284,Azzano Decimo,IT,2021-03-30 21:11:15,45.8831,12.7131,57.99,72,0,4.61
285,Gafanha Da Encarnacao,PT,2021-03-30 21:11:16,40.6181,-8.733,64.0,80,74,7.31
286,Japura,ID,2021-03-30 21:11:16,-0.3167,102.35,73.35,95,100,2.35
287,Hanstholm,DK,2021-03-30 21:11:16,57.1167,8.6167,44.01,3,0,1.99
288,Ust-Tsilma,RU,2021-03-30 21:11:16,65.441,52.1498,33.85,97,100,8.61
289,Srandakan,ID,2021-03-30 21:11:17,-7.9386,110.2506,76.93,90,100,2.51
290,Goundam,ML,2021-03-30 21:10:48,16.4145,-3.6708,81.52,9,18,7.58
291,Chuy,UY,2021-03-30 21:11:17,-33.6971,-53.4616,67.23,62,66,10.49
292,Sobolevo,RU,2021-03-30 21:11:17,54.4299,31.8996,41.86,95,100,14.88
